ABU,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
February,982.5,980.3,11.6,19.7,26.9,4.8,79,53,2.8,2.7,1.3,1.2,40,4.8
March,980,977.6,17.2,25.1,33,8.4,69,46,2.5,2.9,0.9,1.2,30.8,5.7
April,975.9,973.1,24.6,32.9,39.8,13.6,52,29,1.8,2.2,0.5,0.9,13.1,5.5
May,972.2,969,29.3,36.8,42.7,18.4,47,28,1.5,1.7,0.6,0.9,25.2,5.4
June,968.5,965,30.1,36.2,43.3,20.4,61,42,2.7,2.4,1.5,1.5,104.6,5.6
July,968.2,965.3,28.4,32.2,38.9,21.9,81,66,4.9,4.6,3,3,309.4,4.5
August,970.1,967.4,27.7,31.1,36.2,22.3,85,72,4.7,4.6,3,3.2,242.6,3.6
September,974.5,971.6,26.4,30.8,35.8,19.5,81,63,2.6,2.6,1.5,1.7,116.7,3.5
October,979.9,977.2,21.5,28.7,34.7,12.7,73,49,0.6,0.7,0.3,0.5,20.3,2.8
November,983.6,981.1,14.9,23.2,30.8,7,77,50,1.1,1.2,0.2,0.3,8.2,2.6
December,985.5,983.3,9.6,18.1,25.6,3.7,84,56,2.4,2.1,1.1,0.8,24.4,2.8
No._of_Years,30,30,30,30,30,30,30,30,30,30,30,30,28,25
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AMBIKAPUR,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,947.9,945.2,13.2,20.9,27.6,4.4,75,48,1.8,1.9,0.8,0.8,26.1,4.4
February,946.3,943.5,16.4,24.3,31.4,6.7,66,39,1.7,1.9,0.8,1.1,22.8,4.9
March,944.7,941.2,22.3,30,36.9,11.1,49,26,1.5,2.1,0.5,1,18.5,5.7
April,941.8,937.9,28.4,34.6,40.7,16.5,39,22,1.6,2.6,0.5,1.5,13.3,6.1
May,938.4,934.6,31.6,36.5,42.7,20.7,41,26,1.9,3.4,0.7,2.1,24.2,6.9
June,934.7,931.7,29,31.7,41.5,21.6,66,55,4.6,5.9,2.6,3.9,251.1,7.8
July,934.6,932.2,25.7,27,33.9,21.4,86,81,6.8,6.9,4.9,4.9,460.9,6.9
August,935.4,933.1,25.4,26.7,32.4,21.4,88,83,6.6,6.8,4.6,4.7,389.9,6.7
September,939.5,936.7,25.2,26.8,32.4,19.8,85,78,4.9,5.4,3,3.4,230.5,5.3
October,944.2,941.5,23.3,26.1,32.3,13.4,78,63,2.5,3.2,1.4,1.9,62.4,4.4
November,947.2,944.5,18.4,23.1,29.5,8.6,73,54,1.3,1.8,0.5,0.7,15.6,4
December,948.7,945.9,13.8,20.4,26.5,5.5,75,51,1.3,1.6,0.4,0.5,11.6,3.8
No._of_Years,27,27,27,27,28,28,27,27,27,27,27,27,25,18
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AMINI DIVI,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1012.4,1009.5,26.1,29.2,32.4,21.5,80,67,3.3,3.4,1.9,2.1,14.5,5.6
February,1012,1009.1,26.9,29.9,33,22.3,78,66,3.3,3,2.4,2.1,0.1,7.5
March,1011.3,1008.2,28,30.7,33.9,23.3,76,67,3.1,2.7,2.3,1.9,2.5,7.9
April,1009.8,1006.8,29.4,31.4,35,24,75,68,3.8,3.6,2.3,2.3,16.8,8.9
May,1008.5,1006.1,29.6,31.2,35.5,23.5,77,72,5.1,5,2.6,2.7,127.4,11.7
June,1007.6,1005.8,28.3,28.9,32.8,23.2,85,84,6.5,6.8,3,3.2,383.9,22.2
July,1008.1,1006.5,27.7,28.3,31.1,23,88,86,6.7,6.9,3.1,3.2,322.5,23.8
August,1009.1,1007.1,27.4,28.1,31.2,23.1,87,85,6.2,6.5,3,3.2,243.3,20.9
September,1009.9,1007.4,27.5,28.5,32.3,23.3,84,81,5.7,5.8,2.8,3,160.2,15.2
October,1010.3,1007.6,27.6,28.8,32.9,22.8,83,78,5.3,5.3,2.6,2.6,129.9,9.3
November,1010.9,1008.1,27.5,29,32.9,22.3,82,74,4.3,4.4,2.2,2.2,109.6,6.1
December,1012,1009.2,26.8,29.1,32.7,21.5,80,70,3.6,3.9,1.8,2.1,28.6,4.9
No._of_Years,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AMRAVATI,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,974.1,970.3,19.1,27.2,32.6,11.1,53,32,1.4,1.2,0.9,0.9,12.4,7.7
February,972.5,968.4,21.2,30.3,35.6,12.4,47,29,1.1,1.2,0.6,0.7,16.4,8.3
March,970.8,966.4,25.7,35,40.6,16.2,40,25,1,1,0.6,0.6,14.3,7.8
April,967.7,962.9,30,39,43.9,21,36,19,1,1.4,0.6,0.8,8.2,9
May,964.8,960,32,39.6,45,23,42,23,1.3,2.1,0.6,1.3,9.3,10.3
June,961.9,957.9,28.5,33.8,43,21.7,68,48,3.9,4.3,2.6,3.4,142.2,13.3
July,962.1,958.7,25.7,29.2,36.2,21.4,81,66,5.3,5.3,4.1,4.4,216.5,11.3
August,962.9,959.7,24.8,27.8,34.4,21.2,85,73,5.4,5.3,4.4,4.6,239.5,11
September,966.4,962.5,25.6,29.3,35.5,20.5,79,63,3.5,4.2,2.3,3.4,162.6,8.1
October,970.1,966.4,25.7,30.6,36.1,17.4,64,45,1.8,2.5,1,1.6,64.1,6.6
November,973.3,969.8,22.8,28.5,33.8,14.7,53,35,1.3,1.2,0.8,0.9,18.7,7.2
December,975.2,971.5,19.4,26.6,31.8,12.2,52,38,1.1,0.9,0.6,0.5,12.7,7.4
No._of_Years,28,28,28,28,28,25,28,28,28,28,28,20,21,27
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AMRELI,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,,,12.9,28.1,33.2,6.2,58,27,,,,,0.3,4.7
February,,,15.6,30.4,35.7,8.4,57,23,,,,,0,5.7
March,,,20.5,34.7,40,13.4,62,22,,,,,0,6.9
April,,,25,38.1,42.6,18.9,67,22,,,,,2,8.1
May,,,27.3,38.7,43.4,22.1,73,26,,,,,3.7,10.1
June,,,28.1,34,41.1,23.5,80,52,,,,,43.8,9.3
July,,,26.5,29.9,35.8,23.2,87,68,,,,,141,8.4
August,,,25.4,28.8,33.8,22.7,90,72,,,,,117.2,6.1
September,,,24.6,30.5,35.9,21.3,89,61,,,,,73.7,4.7
October,,,23.9,33,37.6,17.8,75,39,,,,,23.7,4.2
November,,,20.3,30.5,35.7,12.4,61,34,,,,,15.2,3.9
December,,,15.1,28.7,32.9,8,56,27,,,,,1.7,3.9
No._of_Years,,,22,22,23,23,22,22,,,,,22,16
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AMRITSAR (RAJASANSI),atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,990.1,988.5,6.1,16.5,23.1,-0.2,90,59,3.6,3.6,1.3,1.1,21.9,2
February,988.2,986.3,9.3,19.5,26.4,1.2,87,53,3.5,3.6,1.1,1.3,25.4,2.7
March,985.5,983.5,15.3,24.5,32,5,79,49,3.6,3.9,0.9,1.3,29.5,3.2
April,981.3,978.9,23.1,31.8,40.1,10.2,60,34,2.9,3.2,0.7,1,15.3,3.6
May,977.1,974.2,29,36.9,43.6,15.7,47,27,2.1,2.3,0.6,1,13.4,3.9
June,973,969.7,30.7,37.7,44.4,19.8,58,37,2.4,1.8,1,1,43.7,4.2
July,972.7,969.9,29,33.1,40.3,21.8,80,65,4.8,4.3,2.4,2.6,208.5,3
August,974.8,972.3,28.3,32.1,37.5,21.8,85,70,4.5,4.4,2.3,2.7,185.7,2.1
September,979.3,976.8,26.5,32,37.3,18.1,81,59,2.2,2.3,1,1.5,66.6,1.9
October,985.1,982.7,20.2,29,35.8,10.4,83,50,0.9,0.8,0.3,0.3,10.9,1.8
November,989,986.7,12.6,22.7,30.7,4.2,89,55,1.5,1.7,0.3,0.3,5.8,1.6
December,991,989.1,7,17.4,25.3,0.1,91,61,3.2,3.1,1.2,0.7,10.6,1.5
No._of_Years,30,30,30,30,30,30,30,30,30,30,30,30,28,24
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANANTAPUR,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,975.4,971.2,21.4,28.8,33.3,14.3,69,39,1.8,2.3,0.4,0.8,1.2,7.8
February,973.7,969.3,23.9,32.3,36.6,16.4,59,31,1.4,1.9,0.3,0.9,0.8,8.1
March,972.4,967.5,27.1,35.7,39.8,18.6,53,26,1,1.9,0.2,1,5.1,8.2
April,970.2,964.8,29.8,37.8,41.5,21.8,55,24,2.2,3.5,0.4,1.9,16.7,8.5
May,968.6,963.3,29.6,37.3,41.8,22.2,60,31,3.7,4.5,0.8,2.2,42.7,11
June,966.9,963,27.8,33.1,39.3,22.5,67,46,5.6,6.2,2.1,3.3,53.5,14.8
July,967.2,963.7,26.8,31.2,36.8,22.5,71,53,6.1,6.6,2.5,3.5,56.7,14.7
August,968,964.3,26.2,30.7,35.8,22.3,73,55,6.1,6.6,2.5,3.4,77.9,14.2
September,969.8,965.3,26.1,30.9,36,21.5,76,55,5.3,6.1,2,3.1,136.7,9.4
October,971.6,967.8,25.9,29.4,34.3,19.4,76,59,4.5,5.4,1.7,2.6,106.9,6.6
November,973.7,970.1,24,27.9,32.6,15.8,75,56,3.9,4.4,1.6,1.9,41.4,7.2
December,975.8,971.9,21.8,27.1,31.3,14.2,75,50,2.9,3.5,0.9,1.3,9.2,8
No._of_Years,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANGUL,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1001.2,997.6,17.9,25.7,31,11.3,76,47,1.2,1.1,0.5,0.5,9,
February,999.1,995.4,21.1,29,35.3,12.7,72,41,2,1.6,1.1,0.9,20.9,
March,996.7,992.6,25.3,33.5,39.2,15.9,67,35,1.5,1.8,0.8,1.1,25,
April,993.1,988.4,28.7,35.6,42.5,20,70,38,1.7,2.6,0.7,1.6,36.9,
May,989.4,985.7,30.6,36.6,44.3,21.6,68,42,1.9,3.2,0.9,2,75.6,
June,985.8,982.5,29.7,32.8,42.5,21.7,74,62,4.3,5.1,2.8,3.7,210.1,
July,986.1,983.1,27.9,29.4,36.2,22.4,81,76,5.4,5.9,3.6,4.6,260.3,
August,986.5,983.9,27.5,28.8,34.5,21.3,83,78,5.5,5.9,4,4.6,325.3,
September,990.9,987.8,27.5,28.9,34.8,20.5,83,76,4.5,5.3,3.1,4,206.5,
October,995.8,992.1,26.2,29.3,34.4,18.6,80,66,2.9,3.3,1.7,2.3,100.8,
November,999.4,995.8,22.4,27.3,32.5,13.6,75,54,1.8,1.9,0.9,1,26.7,
December,1001.7,997.8,17.8,24.7,30.3,11.5,75,49,1,1.1,0.4,0.4,3.1,
No._of_Years,26,26,18,18,17,17,18,18,26,26,26,26,30,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ARIYALUR,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1006.2,1003.2,24.9,27.3,34.3,18.6,80,69,2.2,2.4,2.1,2.2,17.3,
February,1005.9,1002.3,26,29.9,36.1,18.9,76,60,2.2,2,1.7,1.6,12.2,
March,1004.4,1000.5,28,32.6,38.5,20.1,73,52,2.1,1.8,2,1.4,9.7,
April,1002.4,998.3,30.4,34.8,40.8,23.1,68,49,2.2,2.1,1.9,1.9,42.8,
May,1000,996.4,31.1,34.9,41,22.6,65,51,2.1,2.8,1.7,2.4,39.8,
June,998.8,995.8,30.3,33.8,40.1,24,65,51,2.6,3.1,2.5,2.9,27.7,
July,999.1,996.1,29.5,32.9,39.1,23.5,67,53,3.2,3.6,2.9,3.4,59.2,
August,999.7,996.6,28.8,32.2,38.6,23.1,70,57,2.7,3.2,2.4,2.8,87.4,
September,1000.6,997,28.5,31.5,38.7,22.4,74,63,2.7,2.9,2.5,2.8,121.7,
October,1002,998.7,27.8,29.7,37.1,21.9,79,71,2.7,3,2.5,2.8,139.63,
November,1003.4,1000.2,26.3,27.8,35.7,20,82,77,2.9,3.1,2.7,2.8,168.3,
December,1005.3,1002.8,25.2,26.8,34.2,19.3,81,74,2.6,2.7,2.3,2.4,11.6,
No._of_Years,21,21,21,21,21,20,21,21,15,15,15,15,19,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AROGYAVARAM,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,936.9,933.6,18.5,26,30.3,12.6,79,43,2.6,3.3,1.9,1.8,2.6,4.1
February,935.7,932.2,20.8,29.4,33.3,14.1,70,32,2,2.9,1.5,1.8,10.5,5.7
March,934.7,931.1,24.2,32.5,36.5,16.2,59,26,1.6,2.7,1.1,1.5,5.5,6.6
April,933,928.7,26.9,34.3,38.1,19.3,62,28,2.6,4.2,1.7,2.4,23.2,7
May,930.9,927.2,27.6,33.6,38.3,20.4,59,35,3.8,5.2,2.5,2.8,64.7,7.4
June,929.3,926.5,25.6,30.7,35.5,20.7,66,46,5.5,6.4,3.6,3.7,65.5,10.9
July,929.8,927,24.6,29.4,33.9,20.2,70,51,6.2,6.7,4.3,4,97.8,10.6
August,930.3,927.4,24.1,28.7,32.6,20.1,72,54,6.2,6.4,4.2,3.6,96.8,10.4
September,931.9,928.3,24.2,28.4,32.8,19.4,74,56,5.5,6.3,3.6,3.6,140.8,6.6
October,933.5,930.5,23.5,26.5,31.4,17.4,79,64,5,6,3.6,3.7,147.7,4
November,935.3,932.3,21.5,24.7,29.6,14.7,81,65,4.8,5.5,3.8,3.6,100.9,3.7
December,939.9,934,19.4,24,28.5,12.9,82,60,4,4.6,3.2,3,36.6,3.7
No._of_Years,30,30,30,30,30,30,30,30,30,30,30,30,28,29
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AURANGABAD,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,950.5,947.5,17.3,27.7,32.1,10.3,58,31,1.3,1.6,0.8,1.2,5.4,
February,949.3,945.8,19.3,30.3,35.3,11.5,49,25,1.1,1.7,0.6,1.2,1.7,
March,948.2,944.7,24.2,34.4,39.3,15.5,39,20,1.1,1.8,0.7,1.5,2.2,
April,945.9,941.8,28.4,37.2,41.9,19.6,36,19,1.3,2.9,0.7,2.6,1.2,
May,944,939.9,29.6,37.3,42.4,20.8,49,24,1.6,3.6,1,3.3,14.2,
June,940.7,937.3,25.7,32.3,40.1,21.1,76,49,4.4,5.4,3.9,5,103,
July,940.2,937.7,24.2,28.1,34.6,20.3,84,67,5.7,5.8,5,5.3,128.4,
August,940.9,938.2,23.3,27,32.5,19.6,86,69,5.6,5.8,4.9,5.4,155.8,
September,944.2,940.8,23.7,28,34.1,19,83,64,4.4,5.3,3.3,4.7,193.3,
October,947.7,944.2,24.4,30,35,16.2,65,44,2.9,3.6,1.8,3,60,
November,949.6,946.6,21.8,28.7,33.5,12.7,58,36,2,2.4,1.3,2,24.5,
December,951.2,947.9,18.3,27.3,31.3,10.1,59,35,1.7,2,0.9,1.3,4.7,
No._of_Years,13,13,13,13,13,13,13,13,13,13,13,13,13,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AURANGABAD (CHIKALTHANA)(A),atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,950.2,946.9,16.6,27.6,31.9,6.9,59,33,1.6,1.7,0.4,0.8,3.3,5.6
February,949.1,945.4,19.3,30.1,34.7,8.6,49,27,1.1,1.6,0.3,0.9,2.4,7.2
March,947.7,943.7,24.7,34.1,38.8,12.8,38,22,1.2,2,0.3,1.1,5,8.6
April,945.6,941.3,28.8,36.9,41.1,17,36,22,1.3,2.6,0.3,1.7,3.2,10.6
May,943.4,939.3,29.1,37.4,41.9,20,49,25,1.8,3.5,0.5,2.5,30.4,15.4
June,940.3,937,26.2,31.8,39.7,20.6,74,51,4.9,5.9,2.4,4,130.7,17.4
July,939.9,937.4,24.3,27.9,33.9,20.3,83,67,6.4,6.8,3.7,4.3,144.2,16.3
August,941.1,938.4,23.5,27,32.2,19.7,85,70,6.5,6.7,3.9,4.4,160.4,15.7
September,944.2,940.9,24,28.1,33.4,18.4,80,62,5.1,5.8,2.3,3.8,163,10.3
October,947.3,944,24.5,29.3,34,13.7,64,45,3.1,4,1,2.3,75.4,6.1
November,949.8,946.4,21.4,27.6,32.2,9.7,59,41,2.2,2.7,0.7,1.3,33.3,5.2
December,951.1,947.8,17.4,26.4,30.6,6.9,59,38,1.8,2,0.3,0.5,10.1,4.8
No._of_Years,30,30,30,30,30,30,30,30,30,30,30,30,30,29
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BADARWAH,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,,,1.4,6,17.9,-5.2,79,66,3.7,4,2.2,2.4,119.3,2.2
February,,,2.4,7.8,18.9,-4.6,81,66,4.2,4.8,2.5,3.1,162.5,2.3
March,,,6.3,12.2,23.6,-1.7,77,61,4.3,5.3,2.3,3.3,213.5,2.6
April,,,12.8,18.8,29.7,1.2,65,50,3,4.8,1.5,3.1,128.4,2.6
May,,,17,22.2,32.8,4.5,63,52,2.7,4.7,1.5,3.3,100.2,2.1
June,,,20.9,26.5,35.3,8.9,63,50,2.3,4,1.6,3.2,72.7,2
July,,,21.9,26.3,35,12.1,77,65,4.7,4.9,3.4,3.9,146.3,1.3
August,,,21.1,25.8,33.7,11.6,81,68,4.3,4.8,3.2,3.7,126.1,1.2
September,,,17.1,23.5,32.4,7.3,76,59,2.5,3.6,1.7,2.8,96.6,1.6
October,,,10.8,18.6,28.7,2.6,71,52,1.2,2.1,0.7,1.3,40.9,2
November,,,6.5,12.5,24.9,-0.5,69,57,1.8,2.2,1,1.2,43.8,2.1
December,,,3.5,8.5,19.5,-3.2,68,59,2.9,3.1,1.5,1.7,84.2,2.1
No._of_Years,,,21,21,20,20,21,21,21,21,21,21,22,16
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BAGALKOTE,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,956.3,952.4,19.6,29,32.6,11.2,74,62,,,,,2.3,
February,954.9,950.7,21.4,31.8,35.6,12.6,70,53,,,,,0.7,
March,953.7,949,25.1,35,39.3,15.9,70,49,,,,,2.8,
April,951.9,947.1,27.5,36.7,41,18.8,71,46,,,,,19.1,
May,950.2,945.6,27.4,36.5,42,20.1,76,49,,,,,55,
June,948,944.9,25.8,30.4,38.9,19.8,81,70,,,,,97.6,
July,948.3,945.8,24.8,28.1,33.9,19.9,82,75,,,,,45.9,
August,949.3,946.5,24.4,27.6,32.8,19.1,82,75,,,,,73.1,
September,951.2,947.4,24.4,29,34.2,19.2,80,70,,,,,122.9,
October,952.7,949,24.4,29.4,34.1,16.8,80,70,,,,,108.7,
November,955.3,951.5,22.6,28.3,32.3,13.4,75,68,,,,,30.3,
December,956.9,953,20.2,27.4,31.2,11.3,73,62,,,,,9.1,
No._of_Years,13,13,13,13,13,13,13,13,,,,,17,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BAGATI,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1014.9,,16.8,21.6,29.2,8.6,79,60,0.7,0.5,0.4,0.3,12.2,1.5
February,1012.8,,20,25,32.8,10.9,75,60,1.3,0.7,0.7,0.5,38.9,1.5
March,1009.5,,24.9,29.8,37.3,15,75,63,1.4,0.7,0.8,0.5,34.3,2.3
April,1005.5,,28,32,39.6,18.8,79,67,2.3,1.5,1.4,1,64.5,3.3
May,1002.6,,29.4,32.2,40,20.3,80,70,3.5,2.3,2.1,1.7,148.2,4.1
June,998.5,,29.3,31.1,38.9,21.9,83,78,5.1,3.9,3.1,2.9,263.6,2.8
July,997.9,,28.6,29.7,35.7,23.2,87,84,5.8,5,3.6,3.7,329.7,2.6
August,999.2,,28.6,29.8,34.9,23.3,87,84,5.9,5.2,3.7,3.8,295.9,2.2
September,1003.6,,28.4,29.7,35.2,22.5,86,83,5,4.4,3.2,3.3,229.1,2.1
October,1008.9,,27.1,29.1,34.7,19.5,83,78,2.9,2.4,1.8,1.8,95.2,1.8
November,1012.4,,22.9,26.5,33.1,13.9,79,69,1.3,0.8,0.7,0.6,24.5,1.3
December,1015.1,,17.9,22.6,30.1,9.8,78,62,0.6,0.4,0.3,0.2,10.5,1.4
No._of_Years,27,,30,30,30,30,30,30,30,30,30,30,28,27
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BAGRATAWA,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,,,14.8,23.6,31.1,5,66,44,1.5,1.2,1,0.7,15.6,4.2
February,,,17.7,26.8,34,6.6,55,32,1,1,0.6,0.7,11.1,4.7
March,,,23.6,32.6,39.5,11,38,21,0.9,1.3,0.5,0.7,9,5.2
April,,,30.1,37.7,43.1,16.9,25,13,0.8,1.3,0.3,0.8,2.6,5.7
May,,,32.9,39.7,44.9,21.5,31,16,0.9,1.9,0.4,1.4,7.4,7.1
June,,,30,34.5,44,21.8,60,44,3.7,4.4,2.5,3.2,129.1,8.9
July,,,26.2,28.8,35.8,21.4,82,72,6.4,6.2,5.3,4.4,370.2,7.8
August,,,25.3,27.2,33.5,21.5,87,80,6.8,6.3,6,4.9,448.7,6.7
September,,,25.9,28.6,34.7,20,81,70,4.1,4.3,3.1,3.2,182.3,4.5
October,,,24.6,28.9,35,13.6,69,54,1.6,1.9,0.8,1.3,43.6,3.4
November,,,20,25.6,32.9,8.7,62,51,1.1,1.1,0.6,0.7,23,3.2
December,,,15.3,22.7,30.2,5.6,67,49,1,1.1,0.6,0.5,6.9,3.3
No._of_Years,,,28,28,28,20,28,28,28,28,28,28,23,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BAHRAICH,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,1002.7,1000,11.5,18.5,26.6,5.2,85,66,2.6,2.3,1.7,1.1,18.1,3.3
February,1000.3,997.5,14.5,22.3,30.8,7,76,54,2,2.3,1,0.9,19.3,4.5
March,997.2,993.9,20.6,28.5,37.5,10.3,64,41,1.9,2.3,0.5,0.7,12.5,5.4
April,993.2,989.2,27.5,34.2,41.1,16,48,30,1.6,2,0.5,0.6,9.1,5.9
May,990,985.7,30.2,36,42.8,20.1,55,36,1.7,1.7,0.7,0.8,37.6,6.6
June,986.1,982.3,30.4,34.6,42.3,22.7,69,54,4.2,4.1,2.4,2.4,193.5,6.4
July,985.8,982.9,28.6,31.1,37.3,23.5,84,74,6.4,6.3,4.2,4.1,389.1,5.6
August,987.6,984.7,28.6,30.4,36.1,23.6,84,77,6.1,6.2,3.8,4.1,286.3,5.2
September,991.8,988.7,27.9,29.6,35.9,22.1,82,76,4.7,4.9,3,3.3,239.3,4.4
October,997.4,994.2,25.3,27.9,35,16.1,76,67,1.7,1.8,0.9,1,55.4,2.8
November,1001.3,998.2,19.5,23.3,32.3,10.7,76,65,0.9,1,0.3,0.3,4.7,2.2
December,1003.3,1000.5,13.6,19.2,28.3,6.9,83,69,1.7,1.7,0.7,0.5,13.3,2.7
No._of_Years,30,30,30,30,28,28,30,30,30,30,30,30,30,26
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BAILALDILA,atm_pres1,atm_pres2,dry_bulb_temp1,dry_bulb_temp2,Highest_temp,Lowest_temp,Rel_Hum1,Rel_Hum2,All_clouds1,All_ clouds2,Low_clouds1,Low_clouds2,Rainfall,wind_speed
January,890.3,,18.1,,25.5,10.8,59,,0.9,,0.4,,13.6,9.2
February,889.6,,19.8,,28.1,12.3,57,,1,,0.5,,14.4,11.6
March,889.2,,23,,31.9,14.6,46,,0.9,,0.3,,22.1,13
April,887.5,,24.6,,34.1,15.2,51,,1.5,,0.6,,38.6,15.3
May,884.6,,25.2,,35.9,15.4,60,,2.3,,1,,87.2,16.8
June,881,,22.4,,33.9,15.4,82,,4.2,,2.8,,349.5,21.5
July,880.8,,20.2,,27,14.3,95,,6,,4.6,,822.7,23.5
August,882,,20.1,,25.8,14.7,96,,4.5,,3.1,,848.2,25.3
September,884.4,,21.3,,27.1,15.9,89,,3.2,,1.9,,343.2,16.7
October,887.9,,21.9,,27.5,14.6,72,,2.1,,0.9,,126.3,11.8
November,890,,20,,26.6,12.1,65,,1.8,,0.8,,39,12.2
December,890.9,,18.4,,25.1,10.8,58,,1.4,,0.4,,8.9,9
No._of_Years,24,,24,,24,24,24,,24,,24,,20,17
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
